,p2D2,q2D2,pM,qM,pH,qH,pop,qop,pF,qF,DR2D2,DRM,DRH,DRop,DRF
0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0628827041731589,0.03162551970350911,0.03201116735416677,0.13508454963974556,0.03981759760738939
1,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.1165096170158002,0.03829959967766671,0.03880955477726943,0.17330397807938633,0.04672348709973572
2,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.10158620912182124,0.03189737280335772,0.032519957684538754,0.1615131606890161,0.040842575558633215
3,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.10264142495250356,0.032116277013161575,0.03270292994671663,0.16882654967078334,0.04095242916369787
4,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.09071306012729086,0.03110558649415943,0.03142635843835891,0.15413910752746196,0.040434420898736965
5,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.09759747723755231,0.03478575790067326,0.03504905198862629,0.16458038868834976,0.04439090204431378
6,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.07680815956067347,0.030622933394394012,0.030683979041863006,0.13281809177634296,0.03803802110009765
7,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0783796312646019,0.03336640868280603,0.033520751115512,0.15081704075571856,0.04079591645750352
8,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.06818933860566848,0.03320349455344721,0.03360415884557798,0.11576934831936976,0.041615135242421254
9,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0908222882331545,0.030733352308691574,0.031114396640133334,0.14778895595555297,0.03945547232713951
