,p2D2,q2D2,pM,qM,pH,qH,pop,qop,pF,qF,DR2D2,DRM,DRH,DRop,DRF
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,0.803264586530548,0.8690147713985225,0.866509858399315,0.4325168572807236,0.09547909021728883
1,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,5.0,5.0,0.8713627078696079,0.8936264819459825,0.8845154269579191,0.47151208950067103,0.13736656232128905
2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,0.7831371559366179,0.7903486126436858,0.7825775751340676,0.44676540253036334,0.08588315812782078
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,0.8104792470927332,0.8470721088218616,0.8386209074389768,0.39168913968354624,0.07542335013385836
4,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,5.0,0.6811053088047221,0.6745175370591339,0.6178261874505979,0.4292173462434762,0.08806985524139968
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,0.8035881418239583,0.8689941546588114,0.8635670728099413,0.44178184960063865,0.1309399414447613
6,1.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,5.0,0.8647894268929386,0.8880950670561029,0.8793784906578459,0.4659964487530135,0.08513400652971068
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,0.7295150454508934,0.654657239888909,0.6297466309268313,0.4564960309922722,0.1122280915066508
8,4.0,3.0,3.0,3.0,1.0,1.0,1.0,6.0,2.0,5.0,0.7805335714018083,0.8218505305236344,0.8094352090315436,0.4145802908025815,0.11171690149399509
9,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,5.0,0.8525686606787282,0.7873044659141057,0.8419454905395839,0.4616710941990038,0.10115071422896622
