,p2D2,q2D2,pM,qM,pH,qH,pop,qop,pF,qF,DR2D2,DRM,DRH,DRop,DRF
0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,5.0,5.0,0.8397178941218711,0.942855671152895,0.809321267610031,0.22273618046670848,0.1477099396925249
1,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,5.0,5.0,0.8708355344681605,0.9565925515515943,0.7350957646187392,0.22184360143808088,0.15014484128694533
2,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0,0.9283612638640244,0.9574545069019359,0.8348686303176787,0.24411663799591302,0.14195673542652495
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,0.7561178199139692,0.7497524718759777,0.48483947216320256,0.18446706064999532,0.1252634893855086
4,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,0.8287810787593725,0.8791422973430207,0.8062505191499848,0.25455676945797395,0.15364079961844726
5,3.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,5.0,5.0,0.873238099095865,0.9808934587381831,0.8356374893197355,0.35414772560927893,0.13902425195736323
6,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,5.0,0.9196371409706892,0.9527201462079398,0.8297838222570202,0.2470610703787365,0.14410914319786636
7,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,5.0,0.8164785558081654,0.9282376459391729,0.7908789403341921,0.2641084050464058,0.1520349613641143
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,0.9272355950584128,0.9717787127881933,0.8614728083918503,0.18150527245845852,0.13323703311297622
9,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,4.0,0.8589366609205967,0.9575118858904812,0.7691460746454021,0.23980827087362552,0.15833497026679863
