,p2D2,q2D2,pM,qM,pH,qH,pop,qop,pF,qF,DR2D2,DRM,DRH,DRop,DRF
0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,2.0,10.0,10.0,0.4287803858556214,0.3210425272969288,0.21211661644833785,0.32236763075547714,0.06688937351062149
1,11.0,11.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,0.3113469001195474,0.06488560466770195,0.06858339448078775,0.2917885459467863,0.06836266510150783
2,1.0,1.0,1.0,1.0,1.0,1.0,11.0,2.0,10.0,10.0,0.45319525444424913,0.3202096675810655,0.32090016365738583,0.32853887439655843,0.06725917124354942
3,4.0,11.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,0.3576671330815987,0.06641567062784008,0.07151014326601814,0.3297869381579194,0.069776322270222
4,13.0,12.0,11.0,11.0,10.0,11.0,11.0,11.0,10.0,10.0,0.36034119536225295,0.06495802266680509,0.07647033724158664,0.3273088214225463,0.067258404232643
5,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,0.40642919042841674,0.05819166561909303,0.09291781431239969,0.32423312361156753,0.06311033806765717
6,12.0,12.0,11.0,11.0,10.0,10.0,11.0,11.0,10.0,10.0,0.3326718014025925,0.06215567354921962,0.06629693089920978,0.32226502531353374,0.06821399498471907
7,1.0,1.0,1.0,1.0,1.0,1.0,11.0,11.0,10.0,10.0,0.42733327900746626,0.3162781101600541,0.3160803324201679,0.29920990192389735,0.0669770365525116
8,11.0,11.0,10.0,10.0,10.0,10.0,11.0,1.0,10.0,10.0,0.3351882525370104,0.06456731270298614,0.07026504889965347,0.3298048056857048,0.07050481018910891
9,11.0,11.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,0.3354358972437373,0.06671158802468921,0.07105671839027604,0.31825773755320547,0.0726266650768894
