,p2D2,q2D2,pM,qM,pH,qH,pop,qop,pF,qF,DR2D2,DRM,DRH,DRop,DRF
0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,0.8022710080785342,0.7962419068870479,0.7764778745794814,0.04578594750402172,0.0158757595380796
1,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,0.7565883829002071,0.8345015742785098,0.7883602265524827,0.0322282429967697,0.018350993971515902
2,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,0.8592133863758314,0.8888532491437574,0.8815562764479729,0.027239563850590245,0.01920104853685196
3,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,0.7072447905516851,0.7061121090631469,0.6067783057260212,0.034039072830508096,0.01762345681335535
4,1.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,0.8469165412468768,0.8479492682542682,0.8702928969652683,0.0359563564594826,0.0212599645929003
5,5.0,5.0,5.0,5.0,2.0,2.0,4.0,5.0,5.0,5.0,0.8933677135474911,0.8992900138921123,0.892913343526465,0.038268169494266605,0.01712330178528172
6,3.0,3.0,3.0,3.0,1.0,1.0,5.0,5.0,5.0,5.0,0.8647269951794934,0.8662218275703695,0.8649272370989023,0.024726085160062694,0.015914549095420463
7,3.0,3.0,3.0,3.0,1.0,1.0,5.0,5.0,5.0,5.0,0.7642904955573117,0.7833554713336954,0.7342859015316704,0.03435344237513481,0.017576280448067284
8,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,0.7068556826674405,0.7526237647419611,0.7609253610463396,0.03332238126998512,0.01894509018819503
9,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,0.6704383424954575,0.6747259069349028,0.5284165223228419,0.041760591137354704,0.021095177959546647
