,p2D2,q2D2,pM,qM,pH,qH,pop,qop,pF,qF,DR2D2,DRM,DRH,DRop,DRF
0,1.0,2.0,4.0,5.0,4.0,5.0,1.0,5.0,4.0,5.0,0.5230147596840378,0.2947504584977469,0.33290338347095727,0.4785360042212979,0.213550588206896
1,2.0,1.0,1.0,2.0,5.0,6.0,1.0,5.0,4.0,5.0,0.5810890404134263,0.44207598613016924,0.4364729837691741,0.4514334520071825,0.07570798897746794
2,1.0,4.0,3.0,5.0,3.0,5.0,1.0,4.0,3.0,5.0,0.5131232869112377,0.07273999940509782,0.08176930195425741,0.4397283453502491,0.09172989227687091
3,1.0,5.0,1.0,5.0,1.0,5.0,2.0,6.0,3.0,5.0,0.552511439869221,0.15722873237922094,0.17322544831779463,0.47186524885006675,0.10745931021457739
4,1.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0,5.0,0.4439495962661881,0.12762010877581934,0.13497653040977112,0.42599963253254064,0.10588756292410764
5,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,5.0,0.6424031635258659,0.6227920941139979,0.4572947382679831,0.45413758338599514,0.12143561320216173
6,1.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,0.4142994701048043,0.06702684799316176,0.07269394718960405,0.40665679835647767,0.07814890960937478
7,3.0,5.0,5.0,5.0,4.0,5.0,4.0,1.0,4.0,5.0,0.4892729388051687,0.07892696513925294,0.08097181813949579,0.45987810257580153,0.09253816364055514
8,1.0,8.0,6.0,7.0,1.0,5.0,1.0,3.0,4.0,5.0,0.5951197816902484,0.5730415425842822,0.5482656255824173,0.48837238891358126,0.11860917635239913
9,3.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,5.0,0.5810868712253118,0.4361376375413722,0.43684260649416595,0.45730918984964636,0.12849613902858273
