,p2D2,q2D2,pM,qM,pH,qH,pop,qop,pF,qF,DR2D2,DRM,DRH,DRop,DRF
0,5.0,1.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,0.13125398057467286,0.10125554181968151,0.10184695351224582,0.1364283015999417,0.10858200466454941
1,5.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,0.16906355517770982,0.1236859258549023,0.1261180644925363,0.17674592217427085,0.12570775774329024
2,5.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,0.2081541196923084,0.1277250108284029,0.1367379011699564,0.1946737374777596,0.13682392918711483
3,5.0,2.0,5.0,4.0,5.0,4.0,5.0,2.0,5.0,4.0,0.15077496599176599,0.1160727532437843,0.12094711804553375,0.1686637066172165,0.12605199580966991
4,1.0,2.0,6.0,5.0,5.0,1.0,5.0,2.0,5.0,5.0,0.30359361060699647,0.17168354241824396,0.17390959724561114,0.19103606422244118,0.14104966502377098
5,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,0.24746772387049926,0.1412214656270612,0.14943149695904265,0.2265068551922156,0.13586288590590886
6,6.0,1.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0,3.0,0.26102379877529974,0.13033480208942766,0.14695300034010578,0.21209237494308777,0.13896676015499893
7,1.0,2.0,1.0,1.0,6.0,6.0,5.0,1.0,5.0,5.0,0.46202316798018217,0.45042360371191975,0.45856613952621583,0.16924322062875172,0.1226236910252434
8,1.0,1.0,7.0,6.0,5.0,5.0,5.0,1.0,5.0,5.0,0.40481878170926766,0.1557339477133103,0.1625150402676468,0.17394820112321652,0.12987555805952516
9,6.0,2.0,5.0,4.0,5.0,4.0,5.0,2.0,5.0,4.0,0.1934453329245671,0.12115619330497118,0.12641179764221488,0.180004767705457,0.12274154367427428
