,p2D2,q2D2,pM,qM,pH,qH,pop,qop,pF,qF,DR2D2,DRM,DRH,DRop,DRF
0,7.0,1.0,6.0,5.0,6.0,5.0,4.0,1.0,5.0,5.0,0.4766970770400511,0.4523238261550142,0.15662095270508597,0.1944161014628799,0.12891906562220162
1,1.0,1.0,5.0,4.0,5.0,4.0,5.0,1.0,5.0,4.0,0.22319116930568858,0.13027376369313065,0.13032902517171144,0.1526397874262688,0.11438154981673064
2,9.0,1.0,7.0,7.0,5.0,5.0,5.0,1.0,5.0,5.0,0.4831240320306733,0.3998349448910445,0.18267714683894845,0.16932937486554198,0.12477969069671406
3,1.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,0.24100714793006492,0.12642215624675018,0.15285099930049803,0.17832104846642532,0.121574295946958
4,5.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,0.16793712494594087,0.11389102343280177,0.12164691990092877,0.16236844752548588,0.11417628226839116
5,6.0,1.0,6.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,0.4345578616113685,0.150904814574321,0.1656923723248709,0.21720190492442876,0.14607975549470112
6,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,0.2383647590454488,0.12395269312940262,0.12776166400651243,0.17191957824009052,0.11795389397069674
7,6.0,1.0,6.0,6.0,5.0,5.0,5.0,1.0,5.0,5.0,0.25270933114978716,0.13284236007997854,0.16535371176579516,0.17141031013414934,0.12423789426865017
8,7.0,1.0,6.0,6.0,5.0,5.0,3.0,2.0,5.0,5.0,0.4346059548814913,0.3525522484576517,0.16588320357701256,0.19294223396710725,0.1309546073177273
9,6.0,1.0,1.0,1.0,6.0,6.0,5.0,3.0,5.0,5.0,0.47028753805722984,0.45711727536658775,0.45037932840491474,0.1568572567354192,0.11303590614416802
