,p2D2,q2D2,pM,qM,pH,qH,pop,qop,pF,qF,DR2D2,DRM,DRH,DRop,DRF
0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.06891763394815205,0.06278693645116913,0.06522456364791258,0.0830689410763805,0.0781158900927102
1,5.0,1.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,0.08345738427115032,0.0711978390303283,0.074978740046453,0.10808094532203215,0.08740926425758481
2,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.07809428489634682,0.07140836876685915,0.07628691512986988,0.09174762944986348,0.0835459824494942
3,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.06418536564286426,0.060031324893118125,0.06317821823409935,0.075631635320205,0.06977286330324002
4,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.06890307980330243,0.06301079429072207,0.06610781724790454,0.08363912645506287,0.07606606031180672
5,5.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,0.06999502788184592,0.06498703544942086,0.06885184472407291,0.08386148025270564,0.07708176142780739
6,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.06910729796597728,0.06462571353323328,0.06747821298645235,0.08303129707695839,0.07834555515018654
7,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,0.0918678180898272,0.08311680357278829,0.08713313110468719,0.10388092147906357,0.09403129217394349
8,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.08263743598458095,0.07672358025370538,0.07921502928341898,0.10346384094379281,0.0896908473304244
9,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,0.08013998943187864,0.07042131319329967,0.074005752242564,0.09484316217889623,0.07868798314556948
