,p2D2,q2D2,pM,qM,pH,qH,pop,qop,pF,qF,DR2D2,DRM,DRH,DRop,DRF
0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,0.6746917920699441,0.6669719043702638,0.3274633371987658,0.007649856323915799,0.009156194461680105
1,2.0,2.0,2.0,2.0,2.0,2.0,10.0,10.0,10.0,10.0,0.8454797863770555,0.8467479964680014,0.7630998562580057,0.007875396109011217,0.009388188985305218
2,2.0,2.0,2.0,2.0,2.0,2.0,10.0,10.0,10.0,10.0,0.6539977463796544,0.6651415180945669,0.44241148258894925,0.007587924120504257,0.008720450957177927
3,2.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,0.7399719914348062,0.6940209733583058,0.4559975624544376,0.007829599893367695,0.009100129655879937
4,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,0.7258444291120162,0.7728368261585347,0.5016189730542201,0.00762959069619244,0.009052036319378029
5,4.0,3.0,5.0,3.0,5.0,3.0,10.0,10.0,10.0,10.0,0.8173971339254029,0.8466770218566337,0.6317599052845789,0.008356946145817477,0.00920611794537711
6,4.0,4.0,4.0,4.0,17.0,10.0,10.0,10.0,10.0,10.0,0.7656506005755187,0.7834957883310554,0.44544711442691254,0.007535283784907454,0.008851414778537599
7,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,0.8644440452437112,0.9511027565437787,0.7189241950492555,0.007507249090311062,0.009610239399083367
8,2.0,2.0,3.0,2.0,2.0,2.0,10.0,10.0,10.0,10.0,0.8759108420515599,0.9000413649789557,0.6637100642300696,0.008238899206156452,0.009754093479039574
9,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,0.729243317814647,0.7367579985185022,0.5129305715043476,0.008088597607495477,0.009282185139919881
